asdfasdfasdfasdfasd;flkajsdfl;aksdjfaslkkdfjsakdfj
152,18,20,24,27,31,42,39
153,5,17,25,31,39,40,10
154,1,12,22,32,33,42,38
155,7,14,17,20,35,39,31
156,11,23,26,29,39,44,22
157,10,11,29,38,41,45,21
158,1,4,37,38,40,45,7
159,4,5,13,14,37,41,11
160,3,7,18,29,32,36,19
161,4,22,27,28,38,40,1
162,6,8,13,16,30,43,3
163,14,23,30,32,34,38,6
164,1,9,12,28,36,41,10
165,2,8,23,41,43,44,30
166,2,11,12,15,23,37,8
167,1,15,20,26,35,42,9
168,5,8,21,23,27,33,12
169,4,5,9,13,26,27,1
170,3,7,14,23,26,42,24
171,12,29,32,33,39,40,42
172,12,25,29,35,42,43,24
173,5,27,31,34,35,43,37
174,12,13,32,33,40,41,4
175,6,9,11,22,24,30,31
176,7,20,22,25,38,40,44
177,6,14,22,26,43,44,31
178,1,5,27,30,34,36,40
179,6,22,28,32,34,40,26
180,1,4,10,17,31,42,2
181,3,4,12,20,24,34,41
182,5,20,23,27,35,40,43
183,13,14,24,32,39,41,3
184,19,20,23,24,43,44,13
185,4,13,20,29,36,41,39
186,4,13,22,27,34,44,6
187,5,7,8,15,30,43,22
188,20,22,26,33,36,37,25
189,22,27,31,35,37,40,42
190,8,17,35,36,39,42,4
191,2,7,26,29,40,43,42
192,2,4,8,15,20,27,11
193,2,8,17,30,31,38,25
194,4,8,25,27,37,41,21
195,1,2,23,25,38,40,43
196,17,22,26,27,36,39,20
197,1,3,27,28,32,45,11
198,12,15,19,22,28,34,5
199,1,10,16,24,25,35,43
200,3,4,23,29,40,41,20
201,3,5,10,17,30,31,16
202,8,23,25,27,35,44,24
203,18,29,30,37,39,43,8
204,14,25,29,32,33,45,37
205,9,12,13,15,37,38,27
206,1,9,14,16,21,29,3
207,4,13,18,31,33,45,43
208,8,13,20,22,23,36,34
209,16,25,26,31,36,43,44
210,6,13,29,37,39,41,43
211,10,16,20,39,41,42,27
212,4,21,22,34,37,38,33
213,8,13,15,28,37,43,17
214,2,12,14,17,24,40,39
